customer,email,phone,region,country,product,category,price,quantity,total,payment_method,status,date
Mr. Charles Martin Jr.,zpowell@example.net,(316)511-4363,Europe,Hungary,Chance,Clothing,94.08,10,940.8,PayPal,Pending,2026-03-31
Helen Foster,fwilliamson@example.net,(564)663-5314,Asia,Greenland,Government,Electronics,44.02,1,44.02,Bank Transfer,Cancelled,2026-03-11
Tony Brown,nwise@example.net,+1-875-823-4017x884,South America,Zambia,Along,Sports,461.47,8,3691.76,Credit Card,Cancelled,2026-02-21
Theresa Kennedy,raven25@example.org,242.721.8434x2568,Africa,Zimbabwe,Know,Electronics,400.09,3,1200.27,Bank Transfer,Cancelled,2026-01-15
Clayton Lewis,jose26@example.com,529.676.9966,South America,Thailand,Hot,Sports,150.1,6,900.6,PayPal,Completed,2026-01-29
Timothy Cook,amy81@example.net,410-790-9082x226,Asia,Sweden,Republican,Sports,329.28,7,2304.96,Bank Transfer,Completed,2026-02-19
Amy Hebert,dean42@example.net,001-802-298-5117x262,Africa,Uganda,Size,Home,352.61,9,3173.49,Bank Transfer,Completed,2026-02-24
Dana Thomas,tgilmore@example.com,492.500.8659,North America,Saint Kitts and Nevis,City,Home,311.09,2,622.18,PayPal,Cancelled,2026-02-22
Frank Lynn,yatesdavid@example.net,625-950-6090x28372,South America,Zimbabwe,Show,Books,434.54,3,1303.62,Cash,Pending,2026-01-05
Nathan Bradley,megangallagher@example.net,298.702.6111x75656,Europe,Sweden,Television,Electronics,391.08,7,2737.56,Bank Transfer,Completed,2026-03-06
Ryan Bryant,patrickhansen@example.net,001-231-830-5927x210,South America,Burundi,Floor,Sports,23.55,9,211.95,Cash,Cancelled,2026-02-19
Aaron Gonzalez,allenmcmahon@example.org,310-337-6816,South America,Reunion,Total,Sports,325.84,10,3258.4,Credit Card,Pending,2026-01-29
Luis Cordova,moralesangelica@example.org,+1-596-226-2974x937,North America,Djibouti,Must,Home,347.0,9,3123.0,PayPal,Completed,2026-03-30
Wanda Brooks,louismccarthy@example.org,261.455.4266,Europe,Faroe Islands,However,Clothing,218.78,10,2187.8,Bank Transfer,Cancelled,2026-03-15
James Pierce MD,manningbilly@example.net,+1-982-690-0755,Europe,Ukraine,Store,Home,197.49,4,789.96,Credit Card,Pending,2026-03-22
Miranda Campbell,porterjanice@example.net,001-481-827-8211x6821,South America,Isle of Man,Least,Home,193.72,4,774.88,Credit Card,Completed,2026-01-25
Michael Gomez,daniellebarry@example.org,001-379-428-8418x244,North America,Costa Rica,Watch,Sports,191.93,9,1727.37,Cash,Cancelled,2026-01-04
Kelly Castro,christinabrewer@example.com,666.792.8781x6165,South America,Israel,Together,Home,362.35,6,2174.1,Cash,Completed,2026-01-01
Monica Davis,gjackson@example.com,838.392.6047x32312,Asia,Zimbabwe,Season,Sports,231.74,6,1390.44,Bank Transfer,Cancelled,2026-03-05
Jennifer Orozco,ghamilton@example.org,728-391-8610,Africa,Saint Kitts and Nevis,Less,Clothing,397.31,10,3973.1,PayPal,Completed,2026-01-02
Allison Byrd,bakerkevin@example.org,534-970-4767x38168,South America,Paraguay,Marriage,Sports,281.47,3,844.41,Bank Transfer,Pending,2026-01-12
Blake Hunt,deannasmith@example.net,611-272-4293,South America,Egypt,Be,Sports,224.33,8,1794.64,PayPal,Pending,2026-01-14
Kenneth Hunt,holly98@example.net,874-888-5170,Europe,Jordan,Water,Home,300.96,2,601.92,Credit Card,Pending,2026-01-16
Makayla Booth,murphykimberly@example.org,+1-407-606-6017x840,North America,Korea,Artist,Electronics,269.96,8,2159.68,Credit Card,Cancelled,2026-02-04
Michelle Li,kenneth57@example.net,4783083767,Europe,Barbados,Argue,Sports,414.66,4,1658.64,Cash,Cancelled,2026-01-17
Antonio Hernandez,christopher32@example.com,454.299.5036x9433,Asia,Guatemala,Use,Electronics,131.65,5,658.25,PayPal,Completed,2026-02-09
Angela Caldwell,justingalloway@example.com,(285)888-5967,Asia,Kuwait,Lay,Home,336.52,9,3028.68,Bank Transfer,Cancelled,2026-01-30
Travis Brown,gregory55@example.org,(919)685-8248x1883,North America,Western Sahara,Itself,Books,482.96,9,4346.64,Cash,Cancelled,2026-01-03
Paul Randolph,william01@example.org,989-276-7987x8978,South America,Micronesia,Loss,Books,342.05,6,2052.3,Credit Card,Cancelled,2026-03-16
Benjamin Wilkinson,hwilliams@example.net,+1-750-825-4798,North America,Kiribati,Attention,Electronics,366.49,7,2565.43,Bank Transfer,Completed,2026-01-17
Michelle Miller,kmorrow@example.org,(942)477-3623x633,North America,Pitcairn Islands,Process,Clothing,103.36,7,723.52,PayPal,Pending,2026-02-12
Michael Banks,nbaldwin@example.net,437-831-0749,Europe,Sudan,Admit,Clothing,72.69,4,290.76,Credit Card,Cancelled,2026-02-12
James Potter,blackjanet@example.org,(791)642-0507x4269,South America,Russian Federation,Machine,Home,389.98,7,2729.86,Credit Card,Cancelled,2026-02-10
Sara Hall,oconner@example.org,001-406-709-6658x044,South America,Falkland Islands (Malvinas),Film,Home,12.2,10,122.0,PayPal,Cancelled,2026-01-13
Reginald Shaw,david56@example.org,893.394.8741x484,Europe,Ukraine,White,Books,78.32,3,234.96,Credit Card,Completed,2026-02-11
